0,1,2,3
KKS Polonia Warszawa -  Kotwica Port Morski Kołobrzeg Emocje TV - 2025-12-27 17:55,,27.12.2025 18:00,27.12.2025 18:00  64:86
Miners Katowice -  Enea Basket Poznań Emocje TV - 2025-12-28 14:55,,28.12.2025 15:00,28.12.2025 15:00  78:84
Decka Pelplin -  OPTeam Energia Polska Resovia Emocje TV - 2025-12-28 17:55,,28.12.2025 18:00,28.12.2025 18:00  88:81
Novimex Polonia 1912 Leszno -  ŁKS Coolpack Łódź Emocje TV - 2025-12-28 17:55,,28.12.2025 18:00,28.12.2025 18:00  86:73
KSK Qemetica Noteć Inowrocław -  PGE Spójnia Stargard Emocje TV - 2025-12-29 16:55,,29.12.2025 17:00,29.12.2025 17:00  89:92
OPTeam Energia Polska Resovia -  Miners Katowice Emocje TV - 2026-01-02 17:55,,02.01.2026 18:00,02.01.2026 18:00  101:102
Enea Abramczyk Astoria Bydgoszcz -  Solvera Sokół Łańcut Emocje TV - 2026-01-03 14:55,,03.01.2026 15:00,03.01.2026 15:00  113:81
Żubry Abakus Okna Białystok -  GKS Tychy Emocje TV - 2026-01-03 14:55,,03.01.2026 15:00,03.01.2026 15:00  70:76
Kotwica Port Morski Kołobrzeg -  KSK Qemetica Noteć Inowrocław Emocje TV - 2026-01-03 17:55,,03.01.2026 18:00,03.01.2026 18:00  77:68
PGE Spójnia Stargard -  WKK Active Hotel Wrocław Emocje TV - 2026-01-04 14:55,,04.01.2026 15:00,04.01.2026 15:00  73:85
Weegree AZS Politechnika Opolska -  Novimex Polonia 1912 Leszno Emocje TV - 2026-01-04 14:55,,04.01.2026 15:00,04.01.2026 15:00  76:83
ŁKS Coolpack Łódź -  KKS Polonia Warszawa Emocje TV - 2026-01-04 17:55,,04.01.2026 18:00,04.01.2026 18:00  84:67
Enea Basket Poznań -  SKS Fulimpex Starogard Gdański Emocje TV - 2026-01-04 17:55,,04.01.2026 18:00,04.01.2026 18:00  63:70
OPTeam Energia Polska Resovia -  SKS Fulimpex Starogard Gdański Emocje TV - 2026-01-09 17:55,,09.01.2026 18:00,09.01.2026 18:00  89:75
